iter	Logloss
0	0.6334850252
1	0.6086667487
2	0.5762438995
3	0.563804557
4	0.5518847035
5	0.5437573168
6	0.5307294037
7	0.5261142798
8	0.5229075691
9	0.5193009078
10	0.5166354992
11	0.5133171291
12	0.5079113259
13	0.5063473945
14	0.5031322749
15	0.5024658216
16	0.5009378609
17	0.5003563408
18	0.4994365622
19	0.4989188972
20	0.4983333694
21	0.49779855
22	0.4973470484
23	0.4969398157
24	0.4955813483
25	0.4954033912
26	0.4950883352
27	0.4942041098
28	0.4938264393
29	0.4936487968
30	0.4934092554
31	0.4932808025
32	0.4931971333
33	0.4931344957
34	0.4928280143
35	0.4927112094
36	0.492496233
37	0.4923772446
38	0.4922027471
39	0.4920536634
40	0.4919627675
41	0.4918360211
42	0.4917365899
43	0.4915453026
44	0.4915071801
45	0.4914371538
46	0.4913461078
47	0.4913146176
48	0.4912873192
49	0.4912160371
50	0.4911300986
51	0.491059709
52	0.4909427258
53	0.4905689478
54	0.4904899753
55	0.4904239121
56	0.4903937508
57	0.490367787
58	0.490326001
59	0.4902202758
60	0.4900919364
61	0.4900256962
62	0.490002937
63	0.4899726641
64	0.4899570851
65	0.4899475991
66	0.4898893468
67	0.4898344622
68	0.4898268571
69	0.4895912677
70	0.4895702781
71	0.4895471641
72	0.4895449973
73	0.4895320404
74	0.4895180804
75	0.4894848232
76	0.4894377492
77	0.4893902946
78	0.4893660617
79	0.4893497181
80	0.4893153706
81	0.4893028843
82	0.4892656405
83	0.4892534341
84	0.4892512572
85	0.4892220696
86	0.4892194251
87	0.489159569
88	0.4891112781
89	0.489068023
90	0.4890508078
91	0.489010048
92	0.4890068615
93	0.4887978443
94	0.4887943021
95	0.488791498
96	0.4887562615
97	0.4887170507
98	0.4886883283
99	0.4886462595
100	0.4886366132
101	0.4885789322
102	0.4885751192
103	0.4885715381
104	0.4885690689
105	0.4885651169
106	0.4885610231
107	0.4885571387
108	0.4885540905
109	0.488551744
110	0.4885481139
111	0.48848687
112	0.4884501758
113	0.4884446496
114	0.4884402373
115	0.4884356762
116	0.4883856454
117	0.4883815487
118	0.4883166481
119	0.4882181871
120	0.4881742374
121	0.4881695861
122	0.4880856637
123	0.4880163919
124	0.4880107243
125	0.4879659323
126	0.4879266381
127	0.4879225816
128	0.4879166711
129	0.4879100003
130	0.4878475262
131	0.487792875
132	0.4877358134
133	0.4876811964
134	0.4876750662
135	0.4876690286
136	0.4876105128
137	0.4875516472
138	0.4875013345
139	0.4873658208
140	0.4873280883
141	0.4872825587
142	0.4872416619
143	0.487192592
144	0.4871229344
145	0.4871145038
146	0.4870565608
147	0.4870491942
148	0.4869521035
149	0.4869120199
150	0.4868540979
151	0.4868451335
152	0.4868363264
153	0.4868278173
154	0.4868195235
155	0.4868105387
156	0.4867493567
157	0.4866836019
158	0.4866746951
159	0.4866663923
160	0.486657483
161	0.4866486254
162	0.4866400412
163	0.4866313301
164	0.4865677149
165	0.4865590168
166	0.4865008405
167	0.4864416836
168	0.4863839811
169	0.4863166651
170	0.4862688761
171	0.4862602003
172	0.48625167
173	0.4862117082
174	0.4862033402
175	0.4861951275
176	0.4861869319
177	0.4861494638
178	0.486141369
179	0.4861333997
180	0.4861255592
181	0.4861177093
182	0.4861099763
183	0.486102314
184	0.4860766584
185	0.4860691173
186	0.4860615887
187	0.4860541416
188	0.4860467462
189	0.4860393811
190	0.4860320707
191	0.4860248323
192	0.4860176715
193	0.486010524
194	0.486003428
195	0.4859963539
196	0.4859893035
197	0.4859822979
198	0.4859753
199	0.4859683312
200	0.4859613918
201	0.4859544967
202	0.4859476253
203	0.4859407803
204	0.4859339446
205	0.485927115
206	0.4859203129
207	0.4859135216
208	0.4859067503
209	0.4859000055
210	0.4858932566
211	0.4858865276
212	0.4858797985
213	0.4858730907
214	0.4858017532
215	0.4857950201
216	0.4857883044
217	0.4857375318
218	0.4857308381
219	0.4857241525
220	0.4857174812
221	0.4857108057
222	0.4857041588
223	0.4856975347
224	0.4856909243
225	0.4856843133
226	0.4856209532
227	0.4856143709
228	0.4856077795
229	0.4856012038
230	0.4855946372
231	0.4855880807
232	0.4855815406
233	0.4855195592
234	0.4855130034
235	0.4855064826
236	0.4854999767
237	0.4854934759
238	0.4854869872
239	0.4854805038
240	0.4854740354
241	0.4854675676
242	0.4854611057
243	0.4854251321
244	0.4854186702
245	0.4854122203
246	0.4854057861
247	0.4853993575
248	0.4853929373
249	0.4853865298
250	0.4853801331
251	0.4853737382
252	0.4853673426
253	0.4853157165
254	0.4853093324
255	0.4853029549
256	0.485296586
257	0.4852902392
258	0.4852838961
259	0.4852775515
260	0.4852712231
261	0.4852648859
262	0.4852585838
263	0.4852522716
264	0.4852459733
265	0.48523967
266	0.4852333641
267	0.4852270838
268	0.4852208015
269	0.4852145297
270	0.4852082617
271	0.4852019997
272	0.4851957464
273	0.4851894959
274	0.4851832449
275	0.4851770129
276	0.4851707764
277	0.4851645508
278	0.4851583217
279	0.4851521
280	0.4851458929
281	0.4851396825
282	0.4851334803
283	0.4851272845
284	0.485121107
285	0.4851149367
286	0.4851087631
287	0.4851025954
288	0.4850964479
289	0.4850903047
290	0.4850841545
291	0.4850780082
292	0.4850277216
293	0.4850215655
294	0.4850154395
295	0.485009319
296	0.4850032055
297	0.4849970869
298	0.4849909809
299	0.4849848946
300	0.4849787994
301	0.4849727082
302	0.4849666259
303	0.4849605579
304	0.4849544843
305	0.4849484104
306	0.4849423598
307	0.4849362924
308	0.4849302473
309	0.4848848988
310	0.4848788424
311	0.4848727964
312	0.484866768
313	0.4848607371
314	0.4848547134
315	0.4848486873
316	0.4848426669
317	0.4848366607
318	0.4848306391
319	0.4848246354
320	0.4848186287
321	0.4848126379
322	0.4848066475
323	0.4848006607
324	0.4847946869
325	0.484788712
326	0.4847438501
327	0.4847378754
328	0.4847319132
329	0.4847259419
330	0.4847199955
331	0.4847140414
332	0.4847080928
333	0.4847021462
334	0.48469621
335	0.4846902666
336	0.4846843298
337	0.4846784041
338	0.4846724748
339	0.4846665538
340	0.4846606423
341	0.4846547318
342	0.4846488186
343	0.4846429184
344	0.4846370144
345	0.4846311241
346	0.4846252226
347	0.4846193345
348	0.4846134525
349	0.4845783189
350	0.4845724409
351	0.4845665596
352	0.4845606815
353	0.4845548092
354	0.484548941
355	0.4845430769
356	0.4845372154
357	0.4845313748
358	0.484478998
359	0.4844731385
360	0.4844672828
361	0.4844614405
362	0.4844555981
363	0.4844497531
364	0.4844439125
365	0.4844380783
366	0.4844322478
367	0.4844264117
368	0.4844205965
369	0.4844147591
370	0.484408952
371	0.4844031325
372	0.484397321
373	0.4843915178
374	0.4843180504
375	0.4843122149
376	0.4843064088
377	0.4843006057
378	0.4842948027
379	0.4842890109
380	0.4842832257
381	0.4842774355
382	0.4842204901
383	0.4842146987
384	0.4842089084
385	0.484203119
386	0.4841973452
387	0.4841915768
388	0.4841858121
389	0.4841800524
390	0.4841742902
391	0.4841685324
392	0.4841627694
393	0.4841570154
394	0.4841512688
395	0.4841455222
396	0.484139779
397	0.4841340504
398	0.4841283242
399	0.484122603
400	0.4841168744
401	0.4840503339
402	0.4840445939
403	0.4840388627
404	0.4840331402
405	0.4840274323
406	0.4840217267
407	0.4840160195
408	0.4840103085
409	0.4840046022
410	0.4839989057
411	0.4839932197
412	0.4839875258
413	0.4839818327
414	0.4839761362
415	0.483970467
416	0.4839647715
417	0.4839590849
418	0.483953416
419	0.4839477416
420	0.4839420636
421	0.4839364041
422	0.4839307327
423	0.4839250707
424	0.4839194112
425	0.4839137646
426	0.4839081005
427	0.4839024583
428	0.483896806
429	0.4838911651
430	0.4838855244
431	0.4838798773
432	0.4838376286
433	0.4838319867
434	0.4838263527
435	0.4838207153
436	0.4838150887
437	0.4838094584
438	0.4838038343
439	0.4837982102
440	0.4837926057
441	0.483786984
442	0.4837813798
443	0.4837757691
444	0.4837701636
445	0.4837645461
446	0.4837589496
447	0.4837533462
448	0.4837477398
449	0.4837421424
450	0.4837365431
451	0.4837309486
452	0.483725362
453	0.4837197775
454	0.483678955
455	0.4836316491
456	0.4836260519
457	0.483620465
458	0.4836148887
459	0.4836093113
460	0.4836037339
461	0.4835981686
462	0.4835926042
463	0.4835870404
464	0.4835814864
465	0.4835759318
466	0.4835703752
467	0.4835648211
468	0.4835592777
469	0.4835537274
470	0.48354817
471	0.4835426304
472	0.4835370961
473	0.4835315544
474	0.4835260281
475	0.483520487
476	0.4835149586
477	0.4835094228
478	0.4835038971
479	0.4834983713
480	0.4834928542
481	0.4834873434
482	0.4834818227
483	0.4834763088
484	0.4834708033
485	0.4834652871
486	0.4834597868
487	0.4834542844
488	0.4834487865
489	0.4834432953
490	0.4834377911
491	0.4833966037
492	0.4833911002
493	0.4833856203
494	0.4833801211
495	0.4833746414
496	0.4833691582
497	0.4833636711
498	0.4833581927
499	0.4833527115
500	0.4833472475
501	0.4833417751
502	0.4833362924
503	0.4833308134
504	0.4833253479
505	0.4833198904
506	0.4833144279
507	0.4833089689
508	0.4833035021
509	0.4832980503
510	0.4832925881
511	0.4832871395
512	0.4832816904
513	0.4832762458
514	0.4832708063
515	0.4832653655
516	0.4832599263
517	0.4832544868
518	0.4832490553
519	0.4832436181
520	0.4832381897
521	0.4832327624
522	0.4832273362
523	0.4832219021
524	0.4832164754
525	0.4832110561
526	0.483205643
527	0.4832002233
528	0.4831948111
529	0.4831894042
530	0.483183986
531	0.4831785837
532	0.4831731756
533	0.4831677796
534	0.4831623729
535	0.4831569795
536	0.4831515728
537	0.4831461776
538	0.4831407883
539	0.4831353992
540	0.4831300054
541	0.4831246277
542	0.4831192291
543	0.483113844
544	0.4831084713
545	0.4831030901
546	0.4830977084
547	0.4830923325
548	0.4830869612
549	0.4830815953
550	0.4830762262
551	0.4830708501
552	0.4830654864
553	0.4830601214
554	0.4830547546
555	0.4830493926
556	0.4830440355
557	0.4830386752
558	0.4830333099
559	0.4830279596
560	0.4830226044
561	0.4830172496
562	0.4830118974
563	0.483006552
564	0.4830012027
565	0.4829958556
566	0.4829905151
567	0.4829851666
568	0.4829798244
569	0.4829744932
570	0.4829691456
571	0.4829638135
572	0.4829584867
573	0.4829531452
574	0.4829478067
575	0.4829424848
576	0.4828922491
577	0.4828869081
578	0.4828815726
579	0.4828762398
580	0.4828709108
581	0.4828655897
582	0.48286026
583	0.4828549479
584	0.4828496193
585	0.4828442909
586	0.4828389867
587	0.4828336649
588	0.4828283519
589	0.4828230304
590	0.4828177179
591	0.482812399
592	0.4827727657
593	0.4827674368
594	0.4827621253
595	0.4827568069
596	0.4827515018
597	0.4827461951
598	0.4827408948
599	0.482685554
600	0.4826470271
601	0.4826416856
602	0.4826363739
603	0.4826310713
604	0.4826257617
605	0.482620458
606	0.4826151565
607	0.4826098552
608	0.4826045588
609	0.4825992643
610	0.4825939709
611	0.4825886796
612	0.4825833819
613	0.4825780887
614	0.482572803
615	0.4825675228
616	0.4825622322
617	0.4825569524
618	0.4825516665
619	0.482546392
620	0.4825411087
621	0.4825358298
622	0.482530558
623	0.4825252964
624	0.482520025
625	0.4825147404
626	0.4825094803
627	0.4825042013
628	0.4824989407
629	0.4824936817
630	0.4824884169
631	0.4824831504
632	0.4824779022
633	0.4824726377
634	0.4824673781
635	0.4824621304
636	0.4824568681
637	0.4824516236
638	0.4824463669
639	0.4824411084
640	0.4824358747
641	0.4824306173
642	0.4824253697
643	0.4824201325
644	0.4824148808
645	0.4824096388
646	0.4824043979
647	0.4823991637
648	0.4823939081
649	0.482388674
650	0.48238344
651	0.4823782073
652	0.4823729771
653	0.4823677349
654	0.4823622646
655	0.4823570343
656	0.4823518038
657	0.4823465811
658	0.4823413586
659	0.4823361219
660	0.482330906
661	0.4823256883
662	0.4823204592
663	0.4823152337
664	0.4823100228
665	0.482304806
666	0.4822995881
667	0.4822943817
668	0.4822891746
669	0.4822839587
670	0.4822787566
671	0.4822735474
672	0.4822683427
673	0.4822631383
674	0.4822579377
675	0.4822527265
676	0.4822475404
677	0.4822423379
678	0.4822371292
679	0.4822319407
680	0.4822267441
681	0.4822215462
682	0.4822163643
683	0.4822111682
684	0.4822059827
685	0.4822008035
686	0.4821956178
687	0.4821904302
688	0.4821852434
689	0.482180072
690	0.4821748904
691	0.4821697144
692	0.4821645414
693	0.4821593545
694	0.4821541931
695	0.4821490129
696	0.4821438471
697	0.4821386804
698	0.4821335092
699	0.4821283383
700	0.4821231712
701	0.4821180114
702	0.4821128458
703	0.4821076935
704	0.4820622837
705	0.4820570628
706	0.4820518739
707	0.4820466934
708	0.4820415145
709	0.4820363412
710	0.4820311805
711	0.4820260233
712	0.482020871
713	0.48201572
714	0.4820105688
715	0.4820054156
716	0.4820002766
717	0.4819951344
718	0.4819899833
719	0.4819848441
720	0.481979692
721	0.4819745607
722	0.481969427
723	0.4819642939
724	0.4819591572
725	0.4819540254
726	0.4819488819
727	0.4819437583
728	0.4819386284
729	0.4819335079
730	0.4819283796
731	0.4819232594
732	0.4819181329
733	0.4819130092
734	0.4819078904
735	0.4819027733
736	0.4818750164
737	0.4818698656
738	0.4818647419
739	0.4818596157
740	0.4818544998
741	0.4818493826
742	0.4818442688
743	0.4818391574
744	0.4818340403
745	0.4818289262
746	0.4818238167
747	0.4818187131
748	0.4818136103
749	0.4818085043
750	0.4817568431
751	0.48175171
752	0.4817465986
753	0.4817414886
754	0.4817363762
755	0.4817312694
756	0.4817261649
757	0.4817210567
758	0.4817159513
759	0.4817108612
760	0.4817057639
761	0.481700663
762	0.4816955808
763	0.4816904836
764	0.4816853926
765	0.4816803064
766	0.4816752221
767	0.4816701278
768	0.4816650472
769	0.4816599588
770	0.4816548684
771	0.4816497924
772	0.4816447038
773	0.4816396289
774	0.4816345559
775	0.4816294854
776	0.4816244074
777	0.4816193409
778	0.4816142728
779	0.4816091999
780	0.4815554598
781	0.4815503847
782	0.4815453205
783	0.4815402471
784	0.4815351711
785	0.4815301076
786	0.4815250492
787	0.4815199872
788	0.4815149354
789	0.4815098736
790	0.4815048183
791	0.4814533303
792	0.4814482704
793	0.4814432134
794	0.4814381615
795	0.4814331145
796	0.481428055
797	0.4814229983
798	0.4814179419
799	0.4814128909
800	0.4814078465
801	0.4814028047
802	0.4813977518
803	0.481392717
804	0.4813876612
805	0.4813826147
806	0.4813775777
807	0.4813725377
808	0.4813674937
809	0.4813624584
810	0.4813574126
811	0.4813523852
812	0.481347355
813	0.4813423162
814	0.4813372771
815	0.4813322426
816	0.4813272163
817	0.4813221788
818	0.4813171555
819	0.4813121222
820	0.481307102
821	0.4813020681
822	0.481297041
823	0.4812920225
824	0.4812869969
825	0.4812819645
826	0.4812250825
827	0.4812199615
828	0.4812148891
829	0.4812098236
830	0.4812047624
831	0.4811997225
832	0.4811946813
833	0.4811896355
834	0.4811846045
835	0.4811795735
836	0.4811745492
837	0.48116953
838	0.4811645154
839	0.4811594904
840	0.4811544812
841	0.4811494531
842	0.4811444427
843	0.481139423
844	0.4811344098
845	0.4811293951
846	0.4811243791
847	0.4811193745
848	0.4811143597
849	0.4811093521
850	0.4811043423
851	0.4810993422
852	0.4810943294
853	0.4810893382
854	0.4810843235
855	0.4810793157
856	0.4810743123
857	0.481069309
858	0.4810643078
859	0.481059316
860	0.4810543108
861	0.4810493127
862	0.4810443143
863	0.4810393141
864	0.4810343121
865	0.4810293297
866	0.4810243328
867	0.4810193364
868	0.4810143411
869	0.4810093459
870	0.4810043517
871	0.4809993715
872	0.4809943843
873	0.4809893982
874	0.4809844072
875	0.4809794214
876	0.4809744359
877	0.4809694535
878	0.48096447
879	0.4809594907
880	0.4809545095
881	0.4809495311
882	0.4809445443
883	0.4809395736
884	0.4809345966
885	0.4809296149
886	0.4809246426
887	0.4809196656
