iter	Logloss
0	0.6302642875
1	0.5926212897
2	0.5740910208
3	0.5518664429
4	0.5410801556
5	0.5337024971
6	0.5237609706
7	0.5185000952
8	0.5150390809
9	0.5102669188
10	0.5082009123
11	0.5064779699
12	0.5041932163
13	0.5023872418
14	0.5011335238
15	0.5000415071
16	0.4988571073
17	0.498144874
18	0.4972452403
19	0.4954326881
20	0.4942096064
21	0.4939553017
22	0.4937504466
23	0.4933567733
24	0.4931090915
25	0.4928200694
26	0.4926423012
27	0.4923705767
28	0.492159757
29	0.4919326997
30	0.4917335168
31	0.4916347882
32	0.4914029018
33	0.4908450845
34	0.4907565959
35	0.4906169961
36	0.4904926799
37	0.489974326
38	0.4899031332
39	0.4897830684
40	0.4897032006
41	0.489661949
42	0.4895713099
43	0.489451774
44	0.4893605417
45	0.4892614051
46	0.4892065964
47	0.4890982311
48	0.4890062837
49	0.4888689652
50	0.4886550742
51	0.4885826951
52	0.4885221195
53	0.4884365727
54	0.488382657
55	0.4883488785
56	0.4882899227
57	0.4882450429
58	0.4882027636
59	0.488140687
60	0.4880892168
61	0.4880598391
62	0.4880065074
63	0.4879449221
64	0.4878915066
65	0.487833726
66	0.4877788189
67	0.4876935922
68	0.4876243404
69	0.4875745134
70	0.4875409546
71	0.4874727676
72	0.4874343682
73	0.487352043
74	0.4873044604
75	0.4872525746
76	0.4872094474
77	0.4871701794
78	0.4871235076
79	0.4870685943
80	0.4870336798
81	0.4869919004
82	0.4869661005
83	0.4869356119
84	0.4869129297
85	0.4868690053
86	0.4868372006
87	0.4868019326
88	0.4867667072
89	0.486731298
90	0.48669378
91	0.486650142
92	0.4866224566
93	0.4865915962
94	0.4865676188
95	0.4865411873
96	0.4865118761
97	0.4864883115
98	0.4864654845
99	0.4864287473
100	0.486386444
101	0.4863681099
102	0.4863506087
103	0.4863222173
104	0.4862981205
105	0.486271676
106	0.4862350972
107	0.4862133197
108	0.4861624258
109	0.4861288046
110	0.4860819597
111	0.4860615177
112	0.4860136268
113	0.4859789512
114	0.485947497
115	0.4859254912
116	0.4858977433
117	0.485855359
118	0.4858386347
119	0.4857941424
120	0.4857433684
121	0.4857089154
122	0.4856564962
123	0.4856121533
124	0.4855854519
125	0.4855571906
126	0.4855228057
127	0.4854913498
128	0.4854672045
129	0.4854287275
130	0.4854024832
131	0.485382927
132	0.4853594682
133	0.4853180925
134	0.4852785603
135	0.4852389999
136	0.4852142749
137	0.4852093734
138	0.4851642301
139	0.4851209263
140	0.4850797929
141	0.484945249
142	0.4849259265
143	0.4848820174
144	0.4848809592
145	0.484875064
146	0.4848446328
147	0.4848074575
148	0.4847685991
149	0.4847322922
150	0.4846917989
151	0.4846655552
152	0.484635669
153	0.484602218
154	0.4846005755
155	0.4845742093
156	0.4845403693
157	0.4845040872
158	0.4844996321
159	0.4844688216
160	0.484443527
161	0.4844083448
162	0.484377097
163	0.4843390514
164	0.484306228
165	0.4842683885
166	0.4842398855
167	0.4842016886
168	0.4841670705
169	0.4841481108
170	0.4841112852
171	0.4840809834
172	0.4840479406
173	0.484002018
174	0.483976288
175	0.4839445982
176	0.4839148413
177	0.4838753472
178	0.4838492773
179	0.4838208206
180	0.4837835122
181	0.4837495693
182	0.483732995
183	0.4837072742
184	0.4836753805
185	0.4836472872
186	0.4836177624
187	0.4835884623
188	0.4835576719
189	0.4835330208
190	0.483497023
191	0.4834387676
192	0.4834126867
193	0.4833886701
194	0.4833664003
195	0.4833371979
196	0.4833350112
197	0.4833037801
198	0.4833028167
199	0.4832822187
200	0.4832465211
201	0.4832228154
202	0.4831948295
203	0.4831651275
204	0.4831350096
205	0.4831083137
206	0.4830737642
207	0.4830726596
208	0.483038136
209	0.4830094399
210	0.4829748394
211	0.4829654816
212	0.482948154
213	0.4829244738
214	0.4828867919
215	0.482885436
216	0.482863642
217	0.482836248
218	0.4828138982
219	0.4827480517
220	0.4827159115
221	0.4826865847
222	0.4826523834
223	0.4826514933
224	0.4826295539
225	0.4826074289
226	0.4825794957
227	0.4825408102
228	0.4825188522
229	0.4824960359
230	0.4824726651
231	0.4824632988
232	0.4824586945
233	0.4824269372
234	0.482402479
235	0.4823844034
236	0.4823600126
237	0.4823395769
238	0.4823204069
239	0.4822952304
240	0.4822674773
241	0.4822412845
242	0.4822060576
243	0.4821769713
244	0.4821515799
245	0.4821265626
246	0.4821100688
247	0.4820838777
248	0.4820690559
249	0.4820413338
250	0.4820302399
251	0.4819938286
252	0.4819928179
253	0.4819869938
254	0.4819639775
255	0.4819501615
256	0.4819264974
257	0.4819015037
258	0.4818827175
259	0.4818651373
260	0.481849271
261	0.481817307
262	0.4817950284
263	0.4817750664
264	0.4817597233
265	0.481739646
266	0.4817133097
267	0.4816921773
268	0.4816673093
269	0.4816399884
270	0.4816147501
271	0.4816074787
272	0.4815824616
273	0.481564162
274	0.4815246379
275	0.4814899207
276	0.4814664583
277	0.4814412551
278	0.4814200553
279	0.4814013585
280	0.4813724137
281	0.4813616252
282	0.4813424356
283	0.4813137714
284	0.4812867064
285	0.4812658133
286	0.4812455443
287	0.4812436285
288	0.4812375906
289	0.4812045882
290	0.4811721531
291	0.4811564484
292	0.481135308
293	0.4811187472
294	0.4811015661
295	0.4810726268
296	0.4810283403
297	0.481006136
298	0.4809841858
299	0.480962456
300	0.4809377204
301	0.4809147844
302	0.4808947102
303	0.4808674169
304	0.4808499533
305	0.4808277508
306	0.4808031816
307	0.480792064
308	0.4807736662
309	0.4807484121
310	0.4807347448
311	0.4807110548
312	0.4806893086
313	0.4806770684
314	0.4806501509
315	0.4806231509
316	0.4805969596
317	0.4805787684
318	0.4805546689
319	0.4805350138
320	0.4805282154
321	0.4805159305
322	0.4804931967
323	0.4804746632
324	0.4804577297
325	0.4804470696
326	0.4804289328
327	0.4804068919
328	0.4803885213
329	0.4803644188
330	0.4803484657
331	0.4803470662
332	0.4803305345
333	0.4803191863
334	0.4802965004
335	0.4802750291
336	0.480247496
337	0.480230246
338	0.480201021
339	0.4801659435
340	0.4801406339
341	0.4801165272
342	0.4800956257
343	0.4800724583
344	0.4800541179
345	0.480032814
346	0.4800151974
347	0.4799969144
348	0.4799618313
349	0.4799371804
350	0.4799235184
351	0.4798952953
352	0.4798769995
353	0.4798642854
354	0.4798122046
355	0.4797856531
356	0.4797620602
357	0.4797279174
358	0.4797142202
359	0.4796949451
360	0.4796759489
361	0.4796579967
362	0.4796332428
363	0.4796023181
364	0.4795860647
365	0.4795632968
366	0.4795494731
367	0.4795282057
368	0.4795152525
369	0.4794849753
370	0.4794659659
371	0.4794530063
372	0.4794344357
373	0.4794099593
374	0.4793790718
375	0.4793621365
376	0.4793513213
377	0.4793503483
378	0.4793307807
379	0.4793100171
380	0.4792822123
381	0.4792587283
382	0.479249143
383	0.4792296056
384	0.4792088915
385	0.4791882271
386	0.479162406
387	0.4791401544
388	0.4791135409
389	0.4790848714
390	0.4790609082
391	0.4790363314
392	0.4790100791
393	0.4789917515
394	0.478968905
395	0.4789438626
396	0.4789214579
397	0.4788940541
398	0.4788638219
399	0.4788499529
400	0.478831772
401	0.4788101978
402	0.4787848618
403	0.4787578858
404	0.4787371526
405	0.4787230541
406	0.4787071707
407	0.478685573
408	0.4786571286
409	0.4786395467
410	0.478623447
411	0.4785984576
412	0.4785728669
413	0.4785569184
414	0.478537399
415	0.4785073465
416	0.4785069668
417	0.4784872014
418	0.478471307
419	0.4784709052
420	0.4784479721
421	0.4784323911
422	0.4784212515
423	0.478408582
424	0.4783855586
425	0.4783740552
426	0.4783509675
427	0.4783297424
428	0.4783074358
429	0.4782851016
430	0.4782657128
431	0.4782435665
432	0.4782300527
433	0.4782203215
434	0.4782073143
435	0.4782061424
436	0.4781964817
437	0.4781760939
438	0.478152713
439	0.4781199042
440	0.4781026717
441	0.4780909955
442	0.478071768
443	0.4780550665
444	0.4780344494
445	0.4780210298
446	0.4779968326
447	0.4779746048
448	0.4779664702
449	0.4779525049
450	0.4779331597
451	0.4779104783
452	0.4778863474
453	0.4778676205
454	0.4778504623
455	0.4778314685
456	0.4778251077
457	0.4778090344
458	0.4777947617
459	0.4777785015
460	0.4777595571
461	0.4777391453
462	0.4777167148
463	0.4776890052
464	0.4776679703
465	0.4776491558
466	0.4776364275
467	0.4776213708
468	0.4776100338
469	0.4776004253
470	0.4775868067
471	0.4775715875
472	0.4775498292
473	0.4775129096
474	0.477492063
475	0.4774748004
476	0.4774574619
477	0.4774294145
478	0.4774190936
479	0.4773909533
480	0.4773775484
481	0.477355373
482	0.4773478166
483	0.477324013
484	0.4773029559
485	0.477279062
486	0.4772686087
487	0.4772478596
488	0.4772325313
489	0.4772136958
490	0.477194688
491	0.4771601978
492	0.4771593189
493	0.4771373588
494	0.4771257881
495	0.477120577
496	0.4771007524
497	0.4770908987
498	0.4770628521
499	0.477054148
500	0.4770479372
501	0.4770366954
502	0.477015837
503	0.4769937022
504	0.4769792406
505	0.4769654829
506	0.4769468536
507	0.4769352949
508	0.4769124416
509	0.4768968003
510	0.4768746738
511	0.4768643162
512	0.4768486201
513	0.4768221907
514	0.4768078745
515	0.4768033069
516	0.476788442
517	0.4767727125
518	0.47674891
519	0.476732136
520	0.4767165716
521	0.4766894019
522	0.4766702828
523	0.4766639261
524	0.4766484896
525	0.4766359357
526	0.4766221483
527	0.4766042769
528	0.4765898019
529	0.4765646679
530	0.4765445521
531	0.4765315252
532	0.4765085678
533	0.4764900149
534	0.4764780002
535	0.4764586429
536	0.476446207
537	0.4764410274
538	0.4764189662
539	0.4763930973
540	0.4763705472
541	0.4763567942
542	0.4763356672
543	0.476316931
544	0.4762973022
545	0.4762890205
546	0.4762819295
547	0.4762765212
548	0.4762601421
549	0.4762451791
550	0.4762252436
551	0.4762038999
552	0.4761758799
553	0.4761593656
554	0.4761419425
555	0.4761250635
556	0.4761070656
557	0.4760880838
558	0.4760654703
559	0.4760489303
560	0.4760316806
561	0.4760156516
562	0.4760009053
563	0.4759910624
564	0.4759776194
565	0.4759677642
566	0.4759674998
567	0.4759668693
568	0.4759573949
569	0.4759427411
570	0.4759302467
571	0.4759106887
572	0.4759039887
573	0.475882578
574	0.4758752719
575	0.4758368454
576	0.4758219847
577	0.47579748
578	0.4757770626
579	0.4757644245
580	0.4757503625
581	0.4757249203
582	0.4757081619
583	0.4756991591
584	0.4756987405
585	0.4756924134
586	0.4756839099
587	0.4756703507
588	0.4756506215
589	0.4756372593
590	0.4756198558
591	0.4755892599
592	0.4755702419
593	0.4755572467
594	0.475534971
595	0.4755249825
596	0.4755061104
597	0.4754940335
598	0.475476791
599	0.4754638388
600	0.4754493836
601	0.4754388747
602	0.4754316861
603	0.4754185419
604	0.4754005948
605	0.4753937517
606	0.4753679402
607	0.4753462103
608	0.4753376625
609	0.4753177629
610	0.4752985978
611	0.4752804131
612	0.4752720119
613	0.475268316
614	0.475246713
615	0.4752337937
616	0.4752163087
617	0.4752033257
618	0.475181683
619	0.4751519721
620	0.4751377073
621	0.4751148473
622	0.475106916
623	0.4750941613
624	0.4750769316
625	0.475056576
626	0.4750350112
627	0.4750263515
628	0.4750106763
629	0.474986759
630	0.4749606603
631	0.4749606289
632	0.4749576377
633	0.4749278925
634	0.4749211649
635	0.4749085957
636	0.4749052694
637	0.4749051682
638	0.4748986293
