iter	Passed	Remaining
0	104	104809
1	132	66209
2	176	58533
3	203	50792
4	232	46305
5	262	43454
6	309	43923
7	341	42285
8	375	41371
9	408	40423
10	431	38757
11	466	38378
12	501	38068
13	524	36921
14	558	36681
15	588	36221
16	621	35963
17	650	35497
18	683	35297
19	715	35065
20	738	34443
21	771	34276
22	802	34074
23	827	33658
24	860	33543
25	882	33067
26	911	32846
27	936	32509
28	970	32480
29	1027	33230
30	1065	33299
31	1100	33295
32	1139	33399
33	1164	33092
34	1190	32823
35	1216	32575
36	1261	32825
37	1285	32535
38	1305	32181
39	1325	31812
40	1351	31615
41	1366	31173
42	1391	30963
43	1425	30963
44	1447	30711
45	1471	30508
46	1490	30212
47	1509	29947
48	1529	29689
49	1550	29451
50	1572	29265
51	1598	29148
52	1621	28973
53	1641	28762
54	1660	28527
55	1677	28281
56	1696	28060
57	1715	27863
58	1733	27651
59	1751	27437
60	1770	27258
61	1789	27078
62	1807	26875
63	1827	26722
64	1850	26612
65	1869	26457
66	1892	26349
67	1910	26179
68	1931	26063
69	1954	25962
70	1974	25832
71	1992	25686
72	2010	25535
73	2028	25379
74	2049	25277
75	2071	25181
76	2094	25111
77	2118	25036
78	2138	24934
79	2158	24817
80	2176	24690
81	2195	24580
82	2212	24442
83	2231	24334
84	2250	24227
85	2267	24102
86	2286	23998
87	2304	23880
88	2321	23765
89	2338	23644
90	2356	23543
91	2378	23470
92	2399	23401
93	2422	23347
94	2443	23280
95	2462	23190
96	2479	23085
97	2497	22986
98	2513	22876
99	2530	22773
100	2549	22692
101	2567	22604
102	2585	22515
103	2602	22424
104	2620	22335
105	2638	22250
106	2657	22177
107	2675	22097
108	2692	22006
109	2710	21929
110	2730	21865
111	2746	21777
112	2765	21706
113	2801	21769
114	2825	21744
115	2857	21777
116	2920	22042
117	2946	22022
118	2963	21938
119	2981	21863
120	2999	21788
121	3014	21697
122	3034	21637
123	3052	21563
124	3068	21482
125	3086	21409
126	3105	21345
127	3121	21268
128	3138	21190
129	3157	21128
130	3174	21057
131	3191	20985
132	3207	20908
133	3226	20849
134	3243	20780
135	3261	20720
136	3278	20654
137	3293	20575
138	3312	20515
139	3329	20452
140	3350	20410
141	3369	20357
142	3387	20301
143	3408	20261
144	3424	20191
145	3439	20121
146	3458	20067
147	3474	20003
148	3492	19946
149	3509	19888
150	3527	19831
151	3543	19770
152	3563	19725
153	3582	19678
154	3597	19610
155	3613	19550
156	3629	19488
157	3649	19448
158	3664	19380
159	3679	19319
160	3698	19274
161	3715	19217
162	3732	19167
163	3752	19127
164	3771	19085
165	3789	19037
166	3805	18983
167	3823	18936
168	3843	18898
169	3860	18848
170	3877	18796
171	3895	18750
172	3912	18704
173	3931	18664
174	3950	18625
175	3967	18574
176	3985	18530
177	4003	18486
178	4019	18437
179	4038	18397
180	4056	18356
181	4074	18313
182	4091	18267
183	4109	18223
184	4126	18179
185	4144	18138
186	4162	18097
187	4180	18054
188	4197	18011
189	4214	17966
190	4232	17927
191	4250	17888
192	4269	17852
193	4286	17807
194	4305	17773
195	4323	17736
196	4339	17690
197	4359	17659
198	4375	17613
199	4394	17576
200	4418	17565
201	4438	17533
202	4469	17549
203	4490	17520
204	4508	17483
205	4527	17449
206	4547	17421
207	4563	17378
208	4582	17342
209	4602	17312
210	4621	17280
211	4638	17239
212	4654	17199
213	4676	17176
214	4697	17152
215	4713	17107
216	4731	17072
217	4747	17031
218	4766	16997
219	4791	16987
220	4815	16972
221	4833	16938
222	4851	16905
223	4867	16863
224	4886	16832
225	4904	16798
226	4923	16765
227	4942	16734
228	4960	16702
229	4978	16666
230	4996	16634
231	5014	16600
232	5030	16560
233	5062	16572
234	5084	16551
235	5100	16511
236	5119	16481
237	5145	16474
238	5173	16474
